ID,Title,Section,,,,,Smoke ,Sanity
C5385635,Verify the new policy page has Preserve Content tab when you select Box,#42458 - Box Securlet: File Quarantine support,,,,,Yes,Yes
C5385636,"Verify there is a tex tbox with Enter ""folder path"" in new policy page under Preserve Content",#42458 - Box Securlet: File Quarantine support,,,,,Yes,Yes
C5385637,"Verify there is a drop down list with all 4 options i.e. Move, Copy, No Action, Move with tombstone",#42458 - Box Securlet: File Quarantine support,,,,,Yes,Yes
C5385632,Make a policy which moves the file to quarantine when matches,#42458 - Box Securlet: File Quarantine support,,,,,Yes,Yes
C5385633,Make a policy which copies the file to quarantine when matches,#42458 - Box Securlet: File Quarantine support,,,,,Yes,Yes
C5385634,Make a policy which moves the file with tombstone when matches,#42458 - Box Securlet: File Quarantine support,,,,,Yes,Yes
C5385643,"Verify when move is selected, content IQ profile is required message appears under Preserve Content",#42458 - Box Securlet: File Quarantine support,,,,,,
C5385644,"Verify when move with tombstone is selected, content IQ profile is required message appears under Preserve Content",#42458 - Box Securlet: File Quarantine support,,,,,,
C5385645,"Verify when copy is selected, no message for content IQ profile is required appears under Preserve Content",#42458 - Box Securlet: File Quarantine support,,,,,,
C5385646,"Verify if Preserve Content has invalid folder path, error message appears over Preserve Content",#42458 - Box Securlet: File Quarantine support,,,,,,
C5385647,Verify  Response template selection is mandatory with preserve content policy appears if Response Message Template is not selected,#42458 - Box Securlet: File Quarantine support,,,,,,
C5385648,"Verify while making a new response template, there is a tab for Preserve Content",#42458 - Box Securlet: File Quarantine support,,,,,,
C5385649,"Verify two sub-tabs inside Preserve Content , Tombstone File and Copied/Moved File",#42458 - Box Securlet: File Quarantine support,,,,,,
C5386357,Verify original owner of files after file is quarantined,#42458 - Box Securlet: File Quarantine support,,,,,,
C5386358,Verify original owner of files after file is restored,#42458 - Box Securlet: File Quarantine support,,,,,,
C5611219,"make a policy for move (disabled). upload a file matching policy, enable the policy and verify it detects the file n moves it",#42458 - Box Securlet: File Quarantine support,,,,,,
C5611220,"Make a copy policy with specific file name, Upload the file and view it copied to preserve content, Edit the file and re-upload it and verify its content in preserved content updated",#42458 - Box Securlet: File Quarantine support,,,,,,
C5611221,"Upload the same file again and again, verify its version in copied folder",#42458 - Box Securlet: File Quarantine support,,,,,,
C5611222,"Upload file name with quotes e.g ""ABC"" and verify it is detected by policy and CIQ",#42458 - Box Securlet: File Quarantine support,,,,,,
C5611223,Verify log in button in mail taking to dashboard,#42458 - Box Securlet: File Quarantine support,,,,,,
C5611224,Verify timezone set in file name is w.r.t Settings,#42458 - Box Securlet: File Quarantine support,,,,,,
